Symbol,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Ratio
ABBV,100.0,0.03,0.0,0.01,0.0,-,305,326,118.75%,0.03
ABBV,110.0,0.03,0.0,0.03,0.0,-,-,1,103.13%,0.027272727272727275
ABBV,120.0,0.03,0.0,0.03,0.0,-,20,33,74.22%,0.025
ABBV,125.0,0.01,0.0,0.02,0.0,-,56,220,57.81%,0.008
ABBV,128.0,0.02,0.0,0.03,0.0,-,135,228,52.34%,0.015625
ABBV,129.0,0.07,0.0,0.03,0.0,-,22,22,50.00%,0.054263565891472874
ABBV,130.0,0.02,0.0,0.02,0.0,-,11,38,48.44%,0.015384615384615385
ABBV,131.0,0.02,0.01,0.03,0.0,-,2,31,48.44%,0.015267175572519085
ABBV,132.0,0.02,0.01,0.03,0.0,-,16,19,45.70%,0.015151515151515152
ABBV,133.0,0.05,0.01,0.03,0.0,-,1,26,42.97%,0.03759398496240602
ABBV,134.0,0.05,0.0,0.03,0.0,-,1,3,39.84%,0.0373134328358209
ABBV,135.0,0.02,0.01,0.06,-0.02,-50.00%,2,107,41.21%,0.014814814814814815
ABBV,137.0,0.02,0.02,0.06,-0.01,-33.33%,11,22,35.16%,0.014598540145985403
ABBV,138.0,0.08,0.02,0.07,0.0,-,2,23,32.91%,0.057971014492753624
ABBV,139.0,0.05,0.03,0.09,0.0,-,1,9,31.25%,0.03597122302158273
ABBV,140.0,0.04,0.04,0.06,-0.03,-42.86%,46,147,25.78%,0.028571428571428574
ABBV,141.0,0.12,0.03,0.11,0.0,-,14,16,25.59%,0.0851063829787234
ABBV,142.0,0.07,0.08,0.14,-0.07,-50.00%,11,37,23.44%,0.049295774647887335
ABBV,143.0,0.12,0.12,0.19,-0.07,-36.84%,18,44,21.39%,0.08391608391608392
ABBV,144.0,0.24,0.23,0.3,-0.06,-20.00%,21,100,20.26%,0.16666666666666666
ABBV,145.0,0.43,0.41,0.46,0.01,+2.38%,62,293,18.90%,0.296551724137931
ABBV,146.0,0.5,0.64,0.74,-0.23,-31.51%,41,186,18.09%,0.3424657534246575
ABBV,147.0,0.95,1.02,1.14,-0.02,-2.06%,148,653,17.16%,0.6462585034013605
ABBV,148.0,1.51,1.58,1.74,0.07,+4.86%,53,278,17.12%,1.0202702702702702
ABBV,149.0,1.95,2.29,2.49,-0.45,-18.75%,8,264,17.38%,1.308724832214765
ABBV,150.0,2.78,3.1,3.5,-0.34,-10.90%,13,533,22.07%,1.8533333333333333
ABBV,152.5,4.3,5.55,5.9,-1.0,-18.87%,3,555,29.00%,2.819672131147541
ABBV,155.0,7.65,8.05,8.4,-0.41,-5.09%,17,95,37.60%,4.935483870967742
ABBV,157.5,10.15,10.4,10.85,2.85,+39.04%,24,41,43.26%,6.444444444444445
ABBV,160.0,12.85,12.9,13.4,0.0,-,250,113,53.32%,8.03125
ABBV,162.5,15.35,15.4,15.9,0.1,+0.66%,122,49,60.74%,9.446153846153846
ABBV,165.0,17.91,17.9,18.35,0.16,+0.90%,3,5,64.55%,10.854545454545454
ABBV,167.5,19.95,20.45,20.8,3.5,+21.28%,4,0,67.19%,11.910447761194028
ABBV,170.0,21.25,22.9,23.3,0.0,-,3,0,73.24%,12.5
ABBV,180.0,18.6,32.85,33.45,0.0,-,-,0,109.38%,10.333333333333334
ABBV,182.5,35.1,35.25,35.95,0.0,-,-,0,115.23%,19.232876712328768
ABBV,185.0,23.57,38.0,38.45,0.0,-,-,0,94.92%,12.74054054054054